"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"not biddable",115,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10482,"contains description",0,0,"not a 99 ending"
"not biddable",249,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",0,10483,"no description",105,4,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10484,"contains description",0,0,"not a 99 ending"
"not biddable",252.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 3",0,10485,"no description",17,1,"99 ending"
"biddable",1,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10486,"contains description",0,0,"not a 99 ending"
"biddable",80,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10487,"contains description",0,0,"not a 99 ending"
"biddable",40,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10488,"contains description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10489,"no description",95,3,"not a 99 ending"
"not biddable",408,"refurbished","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",1,10490,"contains description",0,0,"not a 99 ending"
"biddable",5,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10491,"no description",77,1,"not a 99 ending"
"biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10492,"contains description",0,0,"not a 99 ending"
"biddable",49.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10493,"contains description",0,0,"99 ending"
"not biddable",124.95,"used","No cellular","None","White","16/32/64 GB","iPad 1",0,10494,"contains description",0,0,"not a 99 ending"
"biddable",159.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10495,"contains description",0,0,"99 ending"
"biddable",130,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10496,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 3",1,10497,"contains description",0,0,"99 ending"
"not biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10498,"contains description",0,0,"99 ending"
"biddable",111.5,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10499,"no description",100,4,"not a 99 ending"
"not biddable",315,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10500,"no description",93,4,"not a 99 ending"
"biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10501,"contains description",0,0,"99 ending"
"biddable",160,"used","Cellular","AT&T","White","16/32/64 GB","iPad 4",1,10502,"contains description",0,0,"not a 99 ending"
"not biddable",184.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",0,10503,"no description",101,2,"99 ending"
"biddable",150,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10504,"contains description",0,0,"not a 99 ending"
"biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10505,"contains description",0,0,"not a 99 ending"
"not biddable",200,"used","Cellular","Verizon","Space Gray","16/32/64 GB","iPad mini 2",0,10506,"no description",94,5,"not a 99 ending"
"biddable",118,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10507,"contains description",0,0,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",0,10508,"contains description",0,0,"99 ending"
"biddable",250,"used","Cellular","AT&T","Black","16/32/64 GB","iPad mini 2",1,10509,"contains description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",1,10510,"contains description",0,0,"99 ending"
"biddable",150,"new","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10511,"contains description",0,0,"not a 99 ending"
"not biddable",79,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10512,"no description",15,0,"not a 99 ending"
"not biddable",399.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10513,"contains description",0,0,"99 ending"
"biddable",59.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10514,"contains description",0,0,"99 ending"
"not biddable",210,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10515,"no description",28,25,"not a 99 ending"
"biddable",92.49,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10516,"contains description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10517,"contains description",0,0,"99 ending"
"not biddable",154,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10518,"no description",93,4,"not a 99 ending"
"biddable",149.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10519,"no description",97,2,"99 ending"
"not biddable",169.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10520,"no description",95,9,"99 ending"
"biddable",120,"used","Cellular","Unknown","White","16/32/64 GB","iPad 2",1,10521,"contains description",0,0,"not a 99 ending"
"not biddable",195,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,10522,"no description",98,2,"not a 99 ending"
"not biddable",425,"used","Cellular","AT&T","Gold","16/32/64 GB","iPad Air 1/2",0,10523,"contains description",0,0,"not a 99 ending"
"biddable",200,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10524,"contains description",0,0,"not a 99 ending"
"not biddable",300,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10525,"contains description",0,0,"not a 99 ending"
"biddable",69,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10526,"no description",47,1,"not a 99 ending"
"biddable",300,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,10527,"contains description",0,0,"not a 99 ending"
"biddable",149,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,10528,"no description",87,8,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10529,"no description",97,9,"not a 99 ending"
"biddable",110,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad mini",1,10530,"contains description",0,0,"not a 99 ending"
"biddable",99,"new","No cellular","None","White","16/32/64 GB","iPad 2",1,10531,"no description",50,1,"99 ending"
"biddable",224.98,"used","No cellular","None","White","16/32/64 GB","iPad 4",0,10532,"no description",97,8,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10533,"contains description",0,0,"99 ending"
"not biddable",89,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10534,"contains description",0,0,"not a 99 ending"
"biddable",380,"new","No cellular","None","White","128 GB","iPad Air 1/2",1,10535,"contains description",0,0,"not a 99 ending"
"biddable",149.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10536,"no description",97,5,"99 ending"
"not biddable",14,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,10537,"contains description",0,0,"not a 99 ending"
"biddable",120,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10538,"contains description",0,0,"not a 99 ending"
"not biddable",149,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10539,"no description",100,4,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10540,"no description",19,1,"99 ending"
"biddable",400,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10541,"contains description",0,0,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10542,"no description",69,1,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10543,"no description",21,1,"not a 99 ending"
"not biddable",475,"used","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",1,10544,"no description",33,1,"not a 99 ending"
"biddable",99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10545,"contains description",0,0,"99 ending"
"not biddable",394.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10546,"no description",26,1,"99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10547,"contains description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10548,"no description",94,1,"not a 99 ending"
"biddable",300,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",1,10549,"contains description",0,0,"not a 99 ending"
"not biddable",399.99,"new","Cellular","Verizon","Space Gray","16/32/64 GB","iPad mini",0,10550,"contains description",0,0,"99 ending"
"biddable",9.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10551,"contains description",0,0,"not a 99 ending"
"biddable",59,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10552,"no description",82,1,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","Unknown",1,10553,"contains description",0,0,"not a 99 ending"
"not biddable",234,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10554,"no description",54,2,"not a 99 ending"
"not biddable",349.99,"new","No cellular","None","Gold","16/32/64 GB","iPad mini3",0,10555,"contains description",0,0,"99 ending"
"biddable",72,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 1",1,10556,"contains description",0,0,"not a 99 ending"
"not biddable",170,"used","No cellular","None","Space Gray","16/32/64 GB","Unknown",1,10557,"no description",24,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10558,"contains description",0,0,"99 ending"
"not biddable",325,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",0,10559,"no description",73,3,"not a 99 ending"
"not biddable",140,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10560,"no description",99,1,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10561,"contains description",0,0,"not a 99 ending"
"not biddable",147.59,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10562,"no description",75,1,"not a 99 ending"
"not biddable",399.99,"used","Cellular","AT&T","Gold","16/32/64 GB","iPad Air 1/2",0,10563,"no description",99,4,"99 ending"
"biddable",95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10564,"contains description",0,0,"not a 99 ending"
"not biddable",499,"used","Cellular","Verizon","Gold","16/32/64 GB","iPad Air 1/2",0,10565,"no description",95,22,"99 ending"
"biddable",45,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10566,"contains description",0,0,"not a 99 ending"
"biddable",125,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 2",0,10567,"no description",98,3,"not a 99 ending"
"not biddable",82.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10568,"contains description",0,0,"not a 99 ending"
"biddable",150,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,10569,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",1,10570,"contains description",0,0,"99 ending"
"biddable",199.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10571,"no description",69,2,"99 ending"
"biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10572,"no description",44,1,"not a 99 ending"
"biddable",201.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,10573,"no description",92,2,"99 ending"
"not biddable",289.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",0,10574,"no description",67,1,"99 ending"
"not biddable",219.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad mini",0,10575,"contains description",0,0,"99 ending"
"biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10576,"contains description",0,0,"99 ending"
"biddable",279,"used","Cellular","Verizon","Black","16/32/64 GB","iPad Air 1/2",1,10577,"no description",99,1,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10578,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 3",1,10579,"no description",101,3,"99 ending"
"biddable",49.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10580,"contains description",0,0,"99 ending"
"biddable",75,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10581,"no description",98,4,"not a 99 ending"
"biddable",149.99,"refurbished","Cellular","Unknown","Black","16/32/64 GB","Unknown",1,10582,"contains description",0,0,"99 ending"
"not biddable",275,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10583,"no description",95,6,"not a 99 ending"
"biddable",249,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10584,"no description",99,11,"not a 99 ending"
"biddable",0.99,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10585,"contains description",0,0,"99 ending"
"not biddable",198,"used","Cellular","Verizon","White","16/32/64 GB","iPad 1",0,10586,"no description",99,4,"not a 99 ending"
"not biddable",300,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10587,"no description",99,5,"not a 99 ending"
"biddable",111,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10588,"contains description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10589,"contains description",0,0,"not a 99 ending"
"not biddable",410,"used","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad Air 1/2",0,10590,"contains description",0,0,"not a 99 ending"
"not biddable",150,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10591,"contains description",0,0,"not a 99 ending"
"biddable",300,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",1,10592,"contains description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10593,"no description",54,4,"not a 99 ending"
"not biddable",60,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10594,"contains description",0,0,"not a 99 ending"
"biddable",113,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,10595,"contains description",0,0,"not a 99 ending"
"not biddable",155,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10596,"no description",103,3,"not a 99 ending"
"not biddable",90,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,10597,"no description",99,1,"not a 99 ending"
"biddable",180,"new","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10598,"contains description",0,0,"not a 99 ending"
"biddable",99.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 2",1,10599,"contains description",0,0,"99 ending"
"biddable",30,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10600,"no description",87,3,"not a 99 ending"
"not biddable",699.95,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 3",0,10601,"no description",83,3,"not a 99 ending"
"biddable",275,"used","Unknown","Unknown","Unknown","128 GB","Unknown",0,10602,"contains description",0,0,"not a 99 ending"
"biddable",94.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10603,"contains description",0,0,"99 ending"
"biddable",0.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10604,"contains description",0,0,"99 ending"
"not biddable",550,"used","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,10605,"no description",101,5,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10606,"contains description",0,0,"99 ending"
"biddable",210,"new","Unknown","Unknown","Black","Unknown","Unknown",0,10607,"contains description",0,0,"not a 99 ending"
"biddable",179,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10608,"contains description",0,0,"not a 99 ending"
"not biddable",80,"used","No cellular","None","White","16/32/64 GB","Unknown",0,10609,"no description",99,1,"not a 99 ending"
"not biddable",155,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10610,"no description",53,3,"not a 99 ending"
"not biddable",150,"used","Unknown","Unknown","White","Unknown","Unknown",1,10611,"contains description",0,0,"not a 99 ending"
"not biddable",209,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",1,10612,"contains description",0,0,"not a 99 ending"
"not biddable",439.99,"new","Cellular","Sprint/T-Mobile","Black","16/32/64 GB","iPad Air 1/2",0,10613,"contains description",0,0,"99 ending"
"not biddable",349.99,"used","Cellular","Verizon","White","16/32/64 GB","iPad mini 2",0,10614,"contains description",0,0,"99 ending"
"biddable",200,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10615,"contains description",0,0,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10616,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10617,"no description",94,13,"99 ending"
"biddable",100,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10618,"no description",101,18,"not a 99 ending"
"biddable",395,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10619,"contains description",0,0,"not a 99 ending"
"biddable",9.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10620,"no description",94,12,"99 ending"
"biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10621,"no description",27,1,"not a 99 ending"
"not biddable",208.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10622,"no description",91,9,"99 ending"
"biddable",9.99,"used","Unknown","Unknown","White","Unknown","iPad 2",1,10623,"contains description",0,0,"99 ending"
"biddable",0.01,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10624,"no description",9,0,"not a 99 ending"
"not biddable",559.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10625,"contains description",0,0,"99 ending"
"biddable",60,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 1",1,10626,"no description",89,2,"not a 99 ending"
"biddable",39.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10627,"no description",99,6,"99 ending"
"biddable",175,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10628,"contains description",0,0,"not a 99 ending"
"not biddable",229.98,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10629,"no description",98,2,"not a 99 ending"
"not biddable",180,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10630,"contains description",0,0,"not a 99 ending"
"biddable",0.01,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",1,10631,"no description",96,3,"not a 99 ending"
"not biddable",120,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10632,"contains description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10633,"no description",45,1,"not a 99 ending"
"biddable",145,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",1,10634,"no description",96,12,"not a 99 ending"
"biddable",9.95,"used","Unknown","Unknown","Unknown","16/32/64 GB","iPad mini3",1,10635,"contains description",0,0,"not a 99 ending"
"biddable",299,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad mini 2",1,10636,"no description",72,2,"99 ending"
"not biddable",560,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10637,"contains description",0,0,"not a 99 ending"
"not biddable",159.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10638,"contains description",0,0,"not a 99 ending"
"biddable",49.95,"used","No cellular","None","Unknown","16/32/64 GB","Unknown",1,10639,"no description",76,2,"not a 99 ending"
"biddable",0.99,"new","No cellular","None","White","16/32/64 GB","iPad mini",1,10640,"contains description",0,0,"99 ending"
"biddable",159,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 3",1,10641,"contains description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10642,"contains description",0,0,"not a 99 ending"
"not biddable",560,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10643,"contains description",0,0,"not a 99 ending"
"not biddable",549.9,"new","Cellular","Unknown","Gold","16/32/64 GB","iPad Air 1/2",0,10644,"contains description",0,0,"not a 99 ending"
"not biddable",80,"used","No cellular","None","White","16/32/64 GB","iPad 1",0,10645,"contains description",0,0,"not a 99 ending"
"biddable",149.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10646,"no description",99,4,"99 ending"
"not biddable",449.99,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10647,"no description",101,5,"99 ending"
"biddable",79.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10648,"no description",97,8,"99 ending"
"not biddable",227.95,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10649,"contains description",0,0,"not a 99 ending"
"not biddable",785,"new","Cellular","Sprint/T-Mobile","Gold","128 GB","iPad Air 1/2",0,10650,"contains description",0,0,"not a 99 ending"
"not biddable",186,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,10651,"no description",99,1,"not a 99 ending"
"biddable",200,"used","Cellular","AT&T","White","16/32/64 GB","iPad mini 2",1,10652,"no description",62,1,"not a 99 ending"
"biddable",200,"new","Unknown","Unknown","Space Gray","16/32/64 GB","iPad mini 2",1,10653,"contains description",0,0,"not a 99 ending"
"biddable",220,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10654,"contains description",0,0,"not a 99 ending"
"not biddable",349.95,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",0,10655,"no description",52,3,"not a 99 ending"
"biddable",225,"used","Cellular","Sprint/T-Mobile","Unknown","16/32/64 GB","iPad Air 1/2",1,10656,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad mini 2",1,10657,"no description",35,3,"99 ending"
"biddable",100,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",0,10658,"contains description",0,0,"not a 99 ending"
"biddable",0.01,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",1,10659,"no description",95,2,"not a 99 ending"
"not biddable",329.99,"new","No cellular","None","White","16/32/64 GB","iPad mini3",0,10660,"contains description",0,0,"99 ending"
"biddable",55,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 1",1,10661,"no description",99,5,"not a 99 ending"
"biddable",100,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,10662,"no description",79,2,"not a 99 ending"
"not biddable",250,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10663,"no description",101,2,"not a 99 ending"
"not biddable",180,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10664,"no description",46,1,"not a 99 ending"
"not biddable",127.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10665,"no description",108,9,"99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10666,"no description",27,3,"not a 99 ending"
"not biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10667,"contains description",0,0,"99 ending"
"not biddable",469.99,"new","Cellular","Unknown","Space Gray","16/32/64 GB","iPad mini3",0,10668,"no description",44,3,"99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10669,"contains description",0,0,"99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10670,"contains description",0,0,"not a 99 ending"
"biddable",400,"used","Cellular","Unknown","Unknown","128 GB","iPad 4",0,10671,"contains description",0,0,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",1,10672,"contains description",0,0,"99 ending"
"biddable",179.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,10673,"contains description",0,0,"99 ending"
"not biddable",222.72,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10674,"no description",94,18,"not a 99 ending"
"not biddable",280,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10675,"no description",98,2,"not a 99 ending"
"not biddable",285,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10676,"no description",30,2,"not a 99 ending"
"biddable",79,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10677,"no description",100,4,"not a 99 ending"
"biddable",99,"used","Cellular","AT&T","White","16/32/64 GB","iPad 3",1,10678,"contains description",0,0,"99 ending"
"not biddable",387.45,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10679,"no description",106,2,"not a 99 ending"
"biddable",239.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10680,"contains description",0,0,"99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10681,"no description",99,4,"not a 99 ending"
"not biddable",438,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10682,"contains description",0,0,"not a 99 ending"
"biddable",140,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10683,"no description",98,2,"not a 99 ending"
"biddable",139.99,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10684,"contains description",0,0,"99 ending"
"biddable",99.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10685,"contains description",0,0,"99 ending"
"not biddable",199,"used","Unknown","Unknown","Black","Unknown","iPad 3",1,10686,"no description",96,3,"99 ending"
"biddable",80,"used","No cellular","None","White","Unknown","iPad 1",0,10687,"no description",29,2,"not a 99 ending"
"biddable",0.99,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10688,"no description",94,2,"99 ending"
"not biddable",200,"new","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10689,"contains description",0,0,"not a 99 ending"
"not biddable",185,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10690,"no description",48,7,"not a 99 ending"
"biddable",449.99,"new","Unknown","Unknown","Gold","16/32/64 GB","iPad mini3",0,10691,"no description",101,3,"99 ending"
"biddable",49.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10692,"no description",101,3,"99 ending"
"not biddable",259.99,"new","Cellular","Sprint/T-Mobile","Black","16/32/64 GB","iPad mini",1,10693,"no description",12,3,"99 ending"
"biddable",149,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10694,"no description",91,74,"not a 99 ending"
"biddable",175,"new","No cellular","None","White","16/32/64 GB","iPad mini",0,10695,"no description",79,1,"not a 99 ending"
"biddable",150,"used","Cellular","Unknown","White","16/32/64 GB","iPad 3",1,10696,"no description",99,4,"not a 99 ending"
"biddable",50,"used","Unknown","Unknown","Unknown","16/32/64 GB","iPad 1",1,10697,"no description",46,0,"not a 99 ending"
"biddable",1,"new","Cellular","Sprint/T-Mobile","Gold","16/32/64 GB","iPad Air 1/2",1,10698,"contains description",0,0,"not a 99 ending"
"biddable",9.99,"used","No cellular","None","White","16/32/64 GB","iPad 1",1,10699,"no description",93,4,"99 ending"
"not biddable",319.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",0,10700,"contains description",0,0,"99 ending"
"not biddable",194.95,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10701,"contains description",0,0,"not a 99 ending"
"biddable",80,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10702,"contains description",0,0,"not a 99 ending"
"biddable",218,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",1,10703,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10704,"contains description",0,0,"99 ending"
"biddable",210,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10705,"no description",47,2,"not a 99 ending"
"biddable",150,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10706,"no description",99,2,"not a 99 ending"
"not biddable",429,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",0,10707,"no description",33,26,"not a 99 ending"
